,train_loss,train_acc,val_acc,test_acc,num_feats
191,0.11916427314281464,1.0,1.0,1.0,8770
192,0.11880753189325333,1.0,1.0,1.0,8765
193,0.11878322064876556,1.0,1.0,1.0,8762
194,0.11875699460506439,1.0,1.0,1.0,8760
195,0.11869516968727112,1.0,1.0,1.0,8755
196,0.11862614750862122,1.0,1.0,1.0,8746
197,0.11859658360481262,1.0,1.0,1.0,8745
198,0.1186072826385498,1.0,1.0,1.0,8739
199,0.11853324621915817,1.0,1.0,1.0,8735
200,0.1185380220413208,1.0,1.0,1.0,8729
201,0.1186225488781929,1.0,1.0,1.0,8725
202,0.11837245523929596,1.0,1.0,1.0,8719
203,0.11832642555236816,1.0,1.0,1.0,8715
204,0.11831793189048767,1.0,1.0,1.0,8711
205,0.11824604868888855,1.0,1.0,1.0,8708
206,0.11822796612977982,1.0,1.0,1.0,8702
207,0.11817704141139984,1.0,1.0,1.0,8693
208,0.11813205480575562,1.0,1.0,1.0,8689
209,0.11835718154907227,1.0,1.0,1.0,8684
210,0.11807083338499069,1.0,1.0,1.0,8681
211,0.11805903911590576,1.0,1.0,1.0,8677
212,0.11797204613685608,1.0,1.0,1.0,8673
213,0.11794214695692062,1.0,1.0,1.0,8668
214,0.1178952306509018,1.0,1.0,1.0,8660
215,0.11791431903839111,1.0,1.0,1.0,8656
216,0.11794962733983994,1.0,1.0,1.0,8651
217,0.11779462546110153,1.0,1.0,1.0,8647
218,0.11779364198446274,1.0,1.0,1.0,8643
219,0.11769440770149231,1.0,1.0,1.0,8636
220,0.11766576766967773,1.0,1.0,1.0,8629
221,0.11761348694562912,1.0,1.0,1.0,8623
222,0.11756284534931183,1.0,1.0,1.0,8619
223,0.117613285779953,1.0,1.0,1.0,8617
224,0.11805375665426254,1.0,1.0,1.0,8614
225,0.11746200919151306,1.0,1.0,1.0,8612
226,0.11740695685148239,1.0,1.0,1.0,8609
227,0.11736799031496048,1.0,1.0,1.0,8605
228,0.1173454225063324,1.0,1.0,1.0,8598
229,0.11728831380605698,1.0,1.0,1.0,8589
230,0.11725396662950516,1.0,1.0,1.0,8582
231,0.11720476299524307,1.0,1.0,1.0,8579
232,0.11717809736728668,1.0,1.0,1.0,8571
233,0.11712944507598877,1.0,1.0,1.0,8567
234,0.11709465831518173,1.0,1.0,1.0,8560
235,0.11708465218544006,1.0,1.0,1.0,8553
236,0.11700431257486343,1.0,1.0,1.0,8546
237,0.11696144193410873,1.0,1.0,1.0,8540
238,0.11694465577602386,1.0,1.0,1.0,8534
239,0.11689331382513046,1.0,1.0,1.0,8532
240,0.11684869974851608,1.0,1.0,1.0,8528
241,0.1168084517121315,1.0,1.0,1.0,8523
242,0.11676496267318726,1.0,1.0,1.0,8519
243,0.1167517825961113,1.0,1.0,1.0,8518
244,0.11671116203069687,1.0,1.0,1.0,8511
245,0.1167813390493393,1.0,1.0,1.0,8502
246,0.11660674214363098,1.0,1.0,1.0,8499
247,0.11659969389438629,1.0,1.0,1.0,8495
248,0.11655130237340927,1.0,1.0,1.0,8492
249,0.11655682325363159,1.0,1.0,1.0,8485
250,0.11644871532917023,1.0,1.0,1.0,8483
251,0.11642449349164963,1.0,1.0,1.0,8478
252,0.11643502861261368,1.0,1.0,1.0,8475
253,0.11632281541824341,1.0,1.0,1.0,8470
254,0.116331085562706,1.0,1.0,1.0,8466
255,0.1162414476275444,1.0,1.0,1.0,8462
256,0.11620423942804337,1.0,1.0,1.0,8459
257,0.11625146120786667,1.0,1.0,1.0,8456
258,0.11611843854188919,1.0,1.0,1.0,8454
259,0.1160915270447731,1.0,1.0,1.0,8450
260,0.11608239263296127,1.0,1.0,1.0,8446
261,0.1160036027431488,1.0,1.0,1.0,8439
262,0.11596223711967468,1.0,1.0,1.0,8435
263,0.11684109270572662,1.0,1.0,1.0,8432
264,0.11603613942861557,1.0,1.0,1.0,8424
265,0.1158951073884964,1.0,1.0,1.0,8420
266,0.11581029742956161,1.0,1.0,1.0,8418
267,0.11576443165540695,1.0,1.0,1.0,8410
268,0.11572588980197906,1.0,1.0,1.0,8406
269,0.11574957519769669,1.0,1.0,1.0,8401
270,0.11564997583627701,1.0,1.0,1.0,8400
271,0.11563149094581604,1.0,1.0,1.0,8397
272,0.11557710915803909,1.0,1.0,1.0,8390
273,0.11553225666284561,1.0,1.0,1.0,8385
274,0.11551292985677719,1.0,1.0,1.0,8379
275,0.11549187451601028,1.0,1.0,1.0,8379
276,0.11553677171468735,1.0,1.0,1.0,8373
277,0.11540408432483673,1.0,1.0,1.0,8360
278,0.11534489691257477,1.0,1.0,1.0,8357
279,0.11529108136892319,1.0,1.0,1.0,8355
280,0.11527413874864578,1.0,1.0,1.0,8350
281,0.1152079701423645,1.0,1.0,1.0,8344
